 Mon Oct 21,8:15 pm, New England Patriots, New York Jets
Thu Oct 24,8:20 pm, Washington Redskins, Minnesota Vikings
 Sun Oct 27,1:00 pm, Arizona Cardinals, New Orleans Saints
 ,1:00 pm, Cincinnati Bengals, Los Angeles Rams
 ,1:00 pm, Los Angeles Chargers, Chicago Bears
 ,1:00 pm, New York Giants, Detroit Lions
 ,1:00 pm, New York Jets, Jacksonville Jaguars
 ,1:00 pm, Oakland Raiders, Houston Texans
 ,1:00 pm, Philadelphia Eagles, Buffalo Bills
 ,1:00 pm, Seattle Seahawks, Atlanta Falcons
 ,1:00 pm, Tampa Bay Buccaneers, Tennessee Titans
 ,4:05 pm, Carolina Panthers, San Francisco 49ers
 ,4:25 pm, Cleveland Browns, New England Patriots
 ,4:25 pm, Denver Broncos, Indianapolis Colts
 ,8:20 pm, Green Bay Packers, Kansas City Chiefs
 Mon Oct 28,8:15 pm, Miami Dolphins, Pittsburgh Steelers
 Thu Oct 31,8:20 pm, San Francisco 49ers, Arizona Cardinals
 Sun Nov 3,9:30 am, Houston Texans, Jacksonville Jaguars
 ,1:00 pm, Chicago Bears, Philadelphia Eagles
 ,1:00 pm, Indianapolis Colts, Pittsburgh Steelers
 ,1:00 pm, Minnesota Vikings, Kansas City Chiefs
 ,1:00 pm, New York Jets, Miami Dolphins
 ,1:00 pm, Tennessee Titans, Carolina Panthers
 ,1:00 pm, Washington Redskins, Buffalo Bills
 ,4:05 pm, Detroit Lions, Oakland Raiders
 ,4:05 pm, Tampa Bay Buccaneers, Seattle Seahawks
 ,4:25 pm, Cleveland Browns, Denver Broncos
 ,4:25 pm, Green Bay Packers, Los Angeles Chargers
 ,8:20 pm, New England Patriots, Baltimore Ravens
 Mon Nov 4,8:15 pm, Dallas Cowboys, New York Giants
 Thu Nov 7,8:20 pm, Los Angeles Chargers, Oakland Raiders
 Sun Nov 10,1:00 pm, Arizona Cardinals, Tampa Bay Buccaneers
 ,1:00 pm, Atlanta Falcons, New Orleans Saints
 ,1:00 pm, Baltimore Ravens, Cincinnati Bengals
 ,1:00 pm, Buffalo Bills, Cleveland Browns
 ,1:00 pm, Carolina Panthers, Green Bay Packers
 ,1:00 pm, Detroit Lions, Chicago Bears
 ,1:00 pm, Kansas City Chiefs, Tennessee Titans
 ,1:00 pm, New York Giants, New York Jets
 ,4:05 pm, Miami Dolphins, Indianapolis Colts
 ,4:25 pm, Los Angeles Rams, Pittsburgh Steelers
 ,8:20 pm, Minnesota Vikings, Dallas Cowboys
 Mon Nov 11,8:15 pm, Seattle Seahawks, San Francisco 49ers
Thu Nov 14,8:20 pm, Pittsburgh Steelers, Cleveland Browns
 Sun Nov 17,1:00 pm, Atlanta Falcons, Carolina Panthers
 ,1:00 pm, Buffalo Bills, Miami Dolphins
 ,1:00 pm, Dallas Cowboys, Detroit Lions
 ,1:00 pm, Denver Broncos, Minnesota Vikings
 ,1:00 pm, Houston Texans, Baltimore Ravens
 ,1:00 pm, Jacksonville Jaguars, Indianapolis Colts
 ,1:00 pm, New Orleans Saints, Tampa Bay Buccaneers
 ,1:00 pm, New York Jets, Washington Redskins
 ,4:05 pm, Arizona Cardinals, San Francisco 49ers
 ,4:25 pm, Cincinnati Bengals, Oakland Raiders
 ,4:25 pm, New England Patriots, Philadelphia Eagles
 ,8:20 pm, Chicago Bears, Los Angeles Rams
 Mon Nov 18,8:15 pm, Kansas City Chiefs, Los Angeles Chargers
Thu Nov 21,8:20 pm, Indianapolis Colts, Houston Texans
 Sun Nov 24,1:00 pm, Carolina Panthers, New Orleans Saints
 ,1:00 pm, Denver Broncos, Buffalo Bills
 ,1:00 pm, Detroit Lions, Washington Redskins
 ,1:00 pm, Miami Dolphins, Cleveland Browns
 ,1:00 pm, New York Giants, Chicago Bears
 ,1:00 pm, Oakland Raiders, New York Jets
 ,1:00 pm, Pittsburgh Steelers, Cincinnati Bengals
 ,1:00 pm, Tampa Bay Buccaneers, Atlanta Falcons
 ,4:05 pm, Jacksonville Jaguars, Tennessee Titans
 ,4:25 pm, Dallas Cowboys, New England Patriots
 ,4:25 pm, Green Bay Packers, San Francisco 49ers
 ,8:20 pm, Seattle Seahawks, Philadelphia Eagles
 Mon Nov 25,8:15 pm, Baltimore Ravens, Los Angeles Rams
Thu Nov 28,12:30 pm, Chicago Bears, Detroit Lions
 ,4:30 pm, Buffalo Bills, Dallas Cowboys
 ,8:20 pm, New Orleans Saints, Atlanta Falcons
 Sun Dec 1,1:00 pm, Green Bay Packers, New York Giants
 ,1:00 pm, New York Jets, Cincinnati Bengals
 ,1:00 pm, Oakland Raiders, Kansas City Chiefs
 ,1:00 pm, Philadelphia Eagles, Miami Dolphins
 ,1:00 pm, San Francisco 49ers, Baltimore Ravens
 ,1:00 pm, Tampa Bay Buccaneers, Jacksonville Jaguars
 ,1:00 pm, Tennessee Titans, Indianapolis Colts
 ,1:00 pm, Washington Redskins, Carolina Panthers
 ,4:05 pm, Los Angeles Rams, Arizona Cardinals
 ,4:25 pm, Cleveland Browns, Pittsburgh Steelers
 ,4:25 pm, Los Angeles Chargers, Denver Broncos
 ,8:20 pm, New England Patriots, Houston Texans
 Mon Dec 2,8:15 pm, Minnesota Vikings, Seattle Seahawks
Thu Dec 5,8:20 pm, Dallas Cowboys, Chicago Bears
 Sun Dec 8,1:00 pm, Baltimore Ravens, Buffalo Bills
 ,1:00 pm, Carolina Panthers, Atlanta Falcons
 ,1:00 pm, Cincinnati Bengals, Cleveland Browns
 ,1:00 pm, Denver Broncos, Houston Texans
 ,1:00 pm, Detroit Lions, Minnesota Vikings
 ,1:00 pm, Indianapolis Colts, Tampa Bay Buccaneers
 ,1:00 pm, Miami Dolphins, New York Jets
 ,1:00 pm, San Francisco 49ers, New Orleans Saints
 ,1:00 pm, Washington Redskins, Green Bay Packers
 ,4:05 pm, Los Angeles Chargers, Jacksonville Jaguars
 ,4:25 pm, Kansas City Chiefs, New England Patriots
 ,4:25 pm, Pittsburgh Steelers, Arizona Cardinals
 ,4:25 pm, Tennessee Titans, Oakland Raiders
 ,8:20 pm, Seattle Seahawks, Los Angeles Rams
 Mon Dec 9,8:15 pm, New York Giants, Philadelphia Eagles
Thu Dec 12,8:20 pm, New York Jets, Baltimore Ravens
 Sun Dec 15,1:00 pm, Buffalo Bills, Pittsburgh Steelers
 ,1:00 pm, Chicago Bears, Green Bay Packers
