date, time (ET), away, home
10/06/2019, 13:00,  Buffalo Bills, Tennessee Titans
10/06/2019, 13:00,  Chicago Bears, Oakland Raiders
10/06/2019, 13:00,  Jacksonville Jaguars, Carolina Panthers
10/06/2019, 13:00,  Minnesota Vikings, New York Giants
10/06/2019, 13:00,  New England Patriots, Washington Redskins
10/06/2019, 13:00,  New York Jets, Philadelphia Eagles
10/06/2019, 13:00,  Tampa Bay Buccaneers, New Orleans Saints
10/06/2019, 16:05,  Denver Broncos, Los Angeles Chargers
10/06/2019, 16:25,  Green Bay Packers, Dallas Cowboys
10/06/2019, 20:20,  Indianapolis Colts, Kansas City Chiefs
10/07/2019, 20:15,  Cleveland Browns, San Francisco 49ers
10/10/2019, 20:20,  New York Giants, New England Patriots
10/13/2019, 09:30,  Carolina Panthers, Tampa Bay Buccaneers
10/13/2019, 13:00,  Cincinnati Bengals, Baltimore Ravens
10/13/2019, 13:00,  Houston Texans, Kansas City Chiefs
10/13/2019, 13:00,  New Orleans Saints, Jacksonville Jaguars
10/13/2019, 13:00,  Philadelphia Eagles, Minnesota Vikings
10/13/2019, 13:00,  Seattle Seahawks, Cleveland Browns
10/13/2019, 13:00,  Washington Redskins, Miami Dolphins
10/13/2019, 16:05,  Atlanta Falcons, Arizona Cardinals
10/13/2019, 16:05,  San Francisco 49ers, Los Angeles Rams
10/13/2019, 16:25,  Dallas Cowboys, New York Jets
10/13/2019, 16:25,  Tennessee Titans, Denver Broncos
10/13/2019, 20:20,  Pittsburgh Steelers, Los Angeles Chargers
10/14/2019, 20:15,  Detroit Lions, Green Bay Packers
10/17/2019, 20:20,  Kansas City Chiefs, Denver Broncos
10/20/2019, 13:00,  Arizona Cardinals, New York Giants
10/20/2019, 13:00,  Houston Texans, Indianapolis Colts
10/20/2019, 13:00,  Jacksonville Jaguars, Cincinnati Bengals
10/20/2019, 13:00,  Los Angeles Rams, Atlanta Falcons
10/20/2019, 13:00,  Miami Dolphins, Buffalo Bills
10/20/2019, 13:00,  Minnesota Vikings, Detroit Lions
10/20/2019, 13:00,  Oakland Raiders, Green Bay Packers
10/20/2019, 13:00,  San Francisco 49ers, Washington Redskins
10/20/2019, 16:05,  Los Angeles Chargers, Tennessee Titans
10/20/2019, 16:25,  Baltimore Ravens, Seattle Seahawks
10/20/2019, 16:25,  New Orleans Saints, Chicago Bears
10/20/2019, 20:20,  Philadelphia Eagles, Dallas Cowboys
10/21/2019, 20:15,  New England Patriots, New York Jets
10/24/2019, 20:20,  Washington Redskins, Minnesota Vikings
10/27/2019, 13:00,  Arizona Cardinals, New Orleans Saints
